Topic,Query,Misspelled Queries
Flight Search,flight schedules for Delta Airlines to Chicago,"['flighht schedules for Delta Airlinees to Chicago', 'flvight schedules for Dellta Airlnes to Chicago', 'flight zschedules for Delta Airlines to Chicago', 'flight schedules for Delta Airlinles tpo Chicago', 'flight schedules for telta Airlines to Chicgao']"
E-commerce,best laptops under $1000,"['best laptops under $10000', 'best laptops under 1000', 'bset laptops under $11000', 'best laptop under $1000', 'bets laptops under $1000']"
E-commerce,organic skincare products with good reviews,"['organic skincaer products wsith good reviews', 'organic skicare products with good reviews', 'organic skincare products with goood reviews', 'organic skincare produmcts with good reviews', 'organic skincare products withh good reviews']"
E-commerce,discounted furniture for small apartments,"['discounted furniture for small apaartmentss', 'discounted furniture for small aparments', 'discounted furniture fr small aparmtents', 'discounted furniture for small aparmtents', 'discounted furniture fro small aapartments']"
E-commerce,latest iPhone models with trade-in offers,"['latest iPhone models witsh trade-in offers', 'latest iPhone modelks with trade-in offers', 'latest iPhon models with trade-in offers', 'latest iPhone omdels with trade-in offers', 'latest iPhone mdels wwith trade-in offers']"
E-commerce,top-rated noise-cancelling headphones,"['top-rated noise-canceelling headphones', 'top-rated noise-cancelling headdphones', 'top-rated noise-ancelling headphones', 'toop-rated noise-cancelling headdphones', 'top-rated noise-cancelling headpones']"
Health and Fitness,yoga classes near me,"['yoga classes near mm', 'yoga classes neaar me', 'yoga classes near em', 'yoga cclasses near me', 'yoga classes near mmee']"
Health and Fitness,gyms with personal trainers in Miami,"['gyms with personal trainers in Miaami', 'gybms with personal trainers in Miami', 'gygms with personal trainers in Miami', 'gyms withh personal trainers in Miami', 'gyms with persna trainers ni Miami']"
Health and Fitness,low-carb meal prep ideas for weight loss,"['low-carb meal prep ideaos for weight loss', 'low-carb meal prep ideas for weigh oss', 'low-carb meal prrep ideas for weight loss', 'low-carb meal prep idears for weight loss', 'lw-carb meal prep ideas for weight loss']"
Health and Fitness,home remedies for back pain relief,"['home remedies for abck pain relief', 'home remedies for back pain reljief', 'home remedies fr back pain relief', 'oem remedies fr back pain relief', 'hom remedies for back pain relief']"
Health and Fitness,best running shoes for flat feet,"['best running shoes for flat efet', 'best running syhoes for flat feet', 'best rnuning shoes for flat feet', 'best running shoes for fla feet', 'best running shose for flat feet']"
Entertainment and Media,movies playing near me this weekend,"['movies plaiyng near me this weekend', 'movvies playing near me this weekend', 'movies playing nar wme this weekned', 'movies playing near mee this wekeeend', 'movies playing nuear e this weekend']"
Entertainment and Media,top-rated fantasy novels of 2024,"['top-rated fanatsy novels owf 2024', 'top-rated fantasy novesl of 2024', 'top-rated faantasy novels fo 2024', 'top-rated fantasy novels oof 2024', 'tpo-rated fantasy novels oof 2024']"
Entertainment and Media,concerts in Chicago this month,"['concerts in Chicaog this mnoth', 'concerts n Chicago this month', 'concerts innn Chicago this month', 'cyoncerts in Chicago this month', 'concerts in Chcaago this month']"
Entertainment and Media,free streaming platforms for documentaries,"['ffree streamig platforms for documentaries', 'free streaming platforms fffor documentaries', 'free streaming plattforms for documentaries', 'free streaming pglatforms for documentaries', 'free streaming latforms for documentaries']"
Entertainment and Media,latest episodes of Stranger Things,"['ltest episodes of Stranger Things', 'latest episodes of Stranger Thigns', 'lates episodes of Stranger Things', 'laatest episodes o Stranger Things', 'latest episodess of Strangre Things']"
Travel and Tourism,best hotels in Bali for families,"['best hotels in sBali for families', 'bets hotels in Bali for families', 'best hotels in Bali for familise', 'best hotels in BBali for families', 'best ohteels in Bali for families']"
Travel and Tourism,top-rated attractions in Rome,"['top-rated attractions cin Rome', 'togp-rated attractions in Rome', 'top-rated attractfionns in Rome', 'top-rnated attractions in Rome', 'to-rated attractions in Rome']"
Travel and Tourism,all-inclusive resorts in the Caribbean,"['all-inclusive resorts ni the Caribbean', 'all-inclusive resorts inn the Caribbean', 'all-inclusive resorts in the Caribbea', 'all-inclusvie resorts ien the Caribbena', 'all-incleusive reosrts in teh Caribbean']"
Travel and Tourism,visa requirements for US citizens visiting Canada,"['visa requiremnets fro US citizens visiting xCanada', 'visa requirements feor US citizens visiting Canada', 'visa requirements fr US citizens visiting Canda', 'vqisa requirements for US citizens visiting Canada', 'visa rvequirements for US citizens visiting Canada']"
Travel and Tourism,weather forecast for Cancun next week,"['weather fhorecast for Cancun next week', 'weather froecast for Cancunn next week', 'weather forecast fr Cancun next week', 'weather forecasat for Canun next week', 'weather forecast foor Cazncun next week']"
General Knowledge and Learning,history of the Great Wall of China,"['history of the Great Wall o China', 'history of the Great Wall of Chiina', 'history of the Great Wall oof China', 'history of tohee Great Wall of China', 'hisotry of the Great Wall fo China']"
General Knowledge and Learning,how to solve quadratic equations,"['ohw to solve quadratic equations', 'how to solve quaratic equations', 'howw to solve quadratic equations', 'how to solve qadratic equations', 'how to solve quadratic equatioons']"
General Knowledge and Learning,current events in the Middle East,"['current events in the Midmdle East', 'current events in the Middle Eats', 'currnt events in the Middle East', 'current events ni the Middle East', 'current events n the Middnle East']"
General Knowledge and Learning,free online courses for Python programming,"['free online coiurses for Python programming', 'free online coursse for Python programming', 'fpre online courses for Python programming', 'fere online courses for Python programming', 'free online courses for Pythn programming']"
General Knowledge and Learning,most famous paintings by Van Gogh,"['most famous paintings by Van Goghh', 'most fmaous paintings by Van Gogh', 'most famous paintings bby Va Gogh', 'omst famous paintings y Van Gogh', 'most famous paaintings bdy Van Gogh']"
Local Services,plumbers near me with good reviews,"['plumbers near mye with good revieews', 'plumbers near me with good reivews', 'plumbers near e fwith good reviews', 'plumbers near mee with good reviews', 'plumbers near me with good reviews']"
Local Services,24-hour pharmacies in Boston,"['24-hour pharmaciess in Bosston', '24-hougr pharmaies in Boston', '24-hour pharmacies ien Boston', '24-hour pharmaciees in Boston', '24-hour pharamcies in Bsston']"
Local Services,car repair shops in San Diego,"['ccar repair shops in San Diego', 'car repair shops in vSaan Diego', 'car repaair shops in San Diego', 'car repair shops inn San Diego', 'car repair hsops in San Diego']"
Local Services,affordable wedding photographers in New York,"['affordable wedidng photographers in New York', 'affordable wedding phkotographers in New York', 'affordable weding photographers in New York', 'affordable wedding photographers i New York', 'affordable wedding photographers tin New York']"
Local Services,dog groomers open on Sundays,"['dog groomers open on Sundys', 'dgo groomers open on Sundays', 'dog groomers open on Sudnays', 'dog groomers open ion Sunndays', 'dog groomers open qon Sundays']"
